item_id,target_word,ambiguity_band,n_wordnet_synsets,zipf_frequency,prompt_P1,prompt_P2,prompt_P3,prompt_P4,prompt_P5,P2_implied_sense,P4_contrast_word,note
E1_001,bank,high,18,5.16,Describe bank in a few sentences.,She walked along the edge of the field where the willows grew thickest and the current ran fastest. The bank had eroded significantly after last winter's floods.,She walked along the water's edge where the willows grew thickest and the current ran fastest. The riverbank had eroded significantly after last winter's floods.,"Describe bank, making sure to distinguish it from river.",Give a dictionary definition of bank.,riverbank (geographical landform),river,financial institution / riverbank / to tilt / depository — classic polysemy
E1_002,crane,high,6,3.92,Describe crane in a few sentences.,"The workers arrived early to the site, and the enormous machine was already in operation, its long arm swinging cables and steel beams across the half-finished frame.","The workers arrived early to the construction site, and the enormous machine was already in operation, its arm swinging steel beams across the half-finished structure.","Describe crane, making sure to distinguish it from heavy machinery.",Give a dictionary definition of crane.,construction crane (machine),heavy machinery,construction machine / wading bird / to stretch neck — common polysemy
E1_003,spring,high,11,4.92,Describe spring in a few sentences.,"After months of bare branches and frozen ground, the morning air smelled different and the birds had begun to sing again.","After months of bare branches and frozen ground, the April air smelled different and the nesting birds had returned.","Describe spring, making sure to distinguish it from winter.",Give a dictionary definition of spring.,the season spring,winter,season / coiled mechanism / water source / to jump — highly polysemous
E1_004,pitch,high,22,4.43,Describe pitch in a few sentences.,"The musician paused, adjusted the instrument, and played the note again — this time it sat exactly where the conductor wanted it.",The musician adjusted the tuning and played the note again — this time its musical frequency sat exactly where the conductor wanted it.,"Describe pitch, making sure to distinguish it from music.",Give a dictionary definition of pitch.,musical pitch (frequency of a note),music,musical pitch / sales pitch / playing field / tar / gradient
E1_005,bat,high,10,4.3,Describe bat in a few sentences.,"At dusk, they emerged from the old barn eaves in dozens, navigating through the dark by sound rather than sight.","At dusk, the nocturnal mammals emerged from the old barn eaves in dozens, navigating through the dark by echolocation.","Describe bat, making sure to distinguish it from any animal.",Give a dictionary definition of bat.,"bat (flying mammal, Chiroptera)",any animal,flying mammal / cricket bat / baseball bat / to hit
E1_006,fair,high,17,4.99,Describe fair in a few sentences.,"The town had waited all year for it: the rides, the livestock competitions, the smell of fried food, and the long rows of handmade goods on display.","The town had waited all year for the annual fair: the rides, the livestock competitions, the fried food, and the rows of craft stalls.","Describe fair, making sure to distinguish it from a public event.",Give a dictionary definition of fair.,"fair (outdoor public event, funfair)",a public event,just/equitable / outdoor event / light complexion / satisfactory
E1_007,plant,high,10,4.89,Describe plant in a few sentences.,"The complex employed twelve hundred workers across three shifts, running the heavy machinery continuously around the clock.","The industrial complex employed twelve hundred workers across three shifts, running the factory machinery continuously around the clock.","Describe plant, making sure to distinguish it from a factory.",Give a dictionary definition of plant.,industrial plant (manufacturing facility),a factory,botanical organism / industrial facility / to place/insert / spy
E1_008,match,high,19,5.13,Describe match in a few sentences.,"The two teams had trained for months for this moment, and the stadium was full two hours before the referee's whistle.","The two teams had trained for months for the football match, and the stadium was packed two hours before the referee's whistle.","Describe match, making sure to distinguish it from a sporting event.",Give a dictionary definition of match.,sporting match (contest),a sporting event,sporting contest / fire-starting stick / correspondence/fit / marriage
E1_009,bark,high,9,3.85,Describe bark in a few sentences.,"The forester ran her hand along the outside of the trunk, reading its texture and color for signs of disease or old age.","The forester ran her hand along the outer layer of the tree trunk, reading its texture and color for signs of fungal disease.","Describe bark, making sure to distinguish it from a tree.",Give a dictionary definition of bark.,bark (outer covering of tree trunk),a tree,tree surface / dog sound / type of sailing vessel
E1_010,draft,high,14,4.61,Describe draft in a few sentences.,The writer had filled three notebooks with crossed-out lines and marginal notes before the structure of the argument finally became clear.,"The writer had filled three notebooks revising the manuscript, crossing out lines and adding marginal notes, before the argument finally held.","Describe draft, making sure to distinguish it from a written document.",Give a dictionary definition of draft.,draft (early version of a written text),a written document,written document early version / air current / military conscription / draught beer
