item_id,target_word,sentence_a,sentence_b,ground_truth_reading,inferential_depth,is_critical_item,corpus_dominant_sense,encyclopedic_target_sense,verification_source,zipf_frequency,note
E4_001,vaccine,The doctor administered the vaccine before the patient's trip abroad.,The vaccine became a flashpoint in debates about bodily autonomy and state authority long before the pandemic made those debates visible.,Public health institution with contested political history; not merely a medical product.,shallow,,,,,4.0,"Vaccine hesitancy, mandates, pharmaceutical politics"
E4_002,virus,The virus spread rapidly through the crowded hospital ward.,The virus that reshaped global governance was not novel in its biology; it was novel in the institutional unpreparedeness it exposed.,"Pandemic event as political and institutional crisis, not merely biological phenomenon.",shallow,,,,,4.42,COVID-19 / HIV as institutional mirror
E4_003,antibiotic,The patient was prescribed an antibiotic to clear the bacterial infection.,"The antibiotic age may be ending — not because the chemistry failed, but because the incentive to develop new ones does not exist inside a market logic.",Antibiotic resistance as consequence of commodification; market failure in drug development.,shallow,,,,,3.5,"AMR crisis, pharmaceutical R&D economics"
E4_004,gene,The gene encodes the instructions for building a specific protein in the cell.,"When a gene becomes a patentable asset, the question of who owns the body is no longer metaphorical.","Gene as proprietary commodity; genomic capitalism, biotech patents.",shallow,,,,,4.36,"Myriad Genetics v. AMP, BRCA patents"
E4_005,fossil,The fossil was found preserved in limestone at the base of the cliff.,Every fossil found in that formation tells the same story: that the world before us was not a warm-up act.,"Fossil as evidence of deep time, human contingency, evolutionary history.",shallow,,,,,3.99,"Deep time, evolution, paleontological narrative"
E4_006,telescope,The astronomer used a telescope to observe the moons of Jupiter.,"When the authorities told him to put away his telescope, the dispute was not about astronomy — it was about who had the right to produce facts.","Telescope as instrument of epistemological conflict; Galileo affair, authority vs. empirical knowledge.",shallow,,,,,3.75,"Galileo, science and power"
E4_007,compass,The sailor used a compass to determine which direction was north.,The compass did not help sailors find their way home; it helped empires find other people's land.,Compass as instrument of colonial navigation and territorial expansion.,shallow,,,,,3.74,"Age of Exploration, colonialism"
E4_008,quarantine,Passengers arriving from the affected region were placed in quarantine for two weeks.,"Quarantine orders in nineteenth-century port cities were enforced selectively, and the selection followed a logic that had nothing to do with epidemiology.",Quarantine as historically racialized public health instrument.,shallow,,,,,3.64,"Discriminatory quarantine enforcement, Chinese Exclusion Act era"
E4_009,famine,The region suffered a devastating famine following three years of drought.,"It was called a famine, but the grain ships never stopped leaving the port; the food was there, and the people were not allowed to eat it.",Political economy of famine: food exported during starvation; famine as political failure not natural disaster.,shallow,,,,,3.61,"Irish Famine 1845-52, Sen's entitlement theory"
E4_010,inflation,Inflation caused the price of basic goods to rise sharply over the course of the year.,"Inflation is never a neutral event: it erodes wages faster than savings, which is why the same rate can be a crisis for one household and a minor inconvenience for another.",Inflation as distributionally unequal phenomenon; real asset holders vs. wage earners.,shallow,,,,,4.14,Distributional effects of inflation
E4_011,protest,Hundreds of people gathered outside the parliament building to protest the new law.,"The protest was called a threat to public order first, then an understandable expression of frustration, then an inevitable turning point — always in that sequence.",Social movement dynamics: criminalization → normalization → historical legitimation cycle.,shallow,,,,,4.45,Social movement literature; Overton window dynamics
