item_id,target_word,inferential_depth,corpus_dominant_sense,verification_source,encyclopedic_target_sense,dict_synset,enc_ctx_word,dict_ctx_word,zipf_enc_ctx,zipf_dict_ctx,sense_mismatch,freq_lower,tier,is_critical_item,manual_rationale
E4_001,vaccine,shallow,vaccine.n.01,wordnet_ordering(n=0),vaccine.n.01,vaccine.n.01,mandate,immunization,3.97,3.01,False,False,-,False,
E4_002,virus,shallow,virus.n.01,wordnet_ordering(n=0),virus.n.01,virus.n.01,governance,pathogen,4.09,3.17,False,False,-,False,
E4_003,antibiotic,shallow,antibiotic.n.01,wordnet_ordering(n=0),antibiotic.n.01,antibiotic.n.01,resistance,bacteria,4.55,4.19,False,False,-,False,
E4_004,gene,shallow,gene.n.01,wordnet_ordering(n=0),gene.n.01,gene.n.01,patent,protein,4.18,4.53,False,True,-,False,
E4_005,fossil,shallow,dodo.n.01,wordnet_ordering(n=0),fossil.n.01,fossil.n.01,evolution,limestone,4.41,3.75,False,False,-,False,
E4_006,telescope,shallow,telescope.n.01,wordnet_ordering(n=0)+manual,telescope.n.01,telescope.n.01,heresy,astronomy,3.35,3.63,False,True,T3_manual,True,"Telescope → Galileo affair: requires knowing that Galileo's instrument threatened ecclesiastical epistemological authority, not just that it observed the sky."
E4_007,compass,shallow,scope.n.01,semcor(n=62)+manual,compass.n.01,compass.n.01,colonialism,navigation,3.33,4.03,False,True,T3_manual,True,"Compass → colonial expansion: requires knowing that navigational technology enabled territorial appropriation, not just seafaring."
E4_008,quarantine,shallow,quarantine.n.01,wordnet_ordering(n=0)+manual,quarantine.n.01,quarantine.n.01,discrimination,isolation,4.31,4.02,False,False,T3_manual,True,Quarantine → racially discriminatory enforcement: requires knowing the specific 19th-c. history of selective port quarantine.
E4_009,famine,shallow,dearth.n.01,wordnet_ordering(n=0)+manual,famine.n.01,famine.n.01,export,drought,4.24,3.9,False,False,T3_manual,True,Famine → political economy: requires knowing food was exported during the Irish Famine despite mass starvation (Sen's thesis).
E4_010,inflation,shallow,inflation.n.01,wordnet_ordering(n=0),inflation.n.01,inflation.n.01,inequality,prices,3.92,4.88,False,True,-,False,
E4_011,protest,shallow,protest.n.01,semcor(n=12),protest.n.01,protest.n.01,legitimation,demonstration,2.04,4.06,False,True,-,False,
E4_012,strike,shallow,strike.n.01,semcor(n=7),strike.n.02,strike.n.01,picket,blow,3.27,4.59,True,True,T1_auto,True,
E4_013,satellite,shallow,satellite.n.01,semcor(n=4),satellite.n.01,satellite.n.01,sovereignty,orbit,3.86,4.03,False,True,-,False,
E4_014,asteroid,shallow,asteroid.n.01,wordnet_ordering(n=0)+manual,asteroid.n.01,asteroid.n.01,extinction,orbit,3.76,4.03,False,True,T3_manual,True,Asteroid → K-Pg mass extinction: requires knowing the Chicxulub impact cleared ecological space for mammalian diversification.
E4_015,climate,shallow,climate.n.02,semcor(n=8),climate.n.01,climate.n.01,emissions,weather,4.07,4.87,False,True,-,False,
E4_016,contract,medium,contract.n.01,semcor(n=19)+manual,contract.n.01,contract.n.01,nondisclosure,agreement,2.27,4.88,False,True,T3_manual,True,Contract → NDA in antitrust context: requires knowing how confidentiality clauses obstruct regulatory review of mergers.
E4_017,mortgage,medium,mortgage.n.01,wordnet_ordering(n=0),mortgage.n.01,mortgage.n.01,securitization,loan,2.33,4.68,False,True,-,False,
E4_018,patent,medium,patent.n.01,semcor(n=5),patent.n.01,patent.n.01,evergreening,invention,1.13,4.04,False,True,-,False,
E4_019,censorship,medium,censoring.n.01,wordnet_ordering(n=0)+manual,censorship.n.01,censorship.n.01,algorithmic,suppression,2.77,3.68,False,True,T3_manual,True,"Censorship → structural/algorithmic suppression: requires knowing that absence of voices can be market-driven, not only state-ordered."
E4_020,monopoly,medium,monopoly.n.01,semcor(n=5),monopoly.n.01,monopoly.n.01,acquisition,control,4.26,5.4,False,True,-,False,
E4_021,tariff,medium,duty.n.03,wordnet_ordering(n=0)+manual,tariff.n.01,tariff.n.01,incidence,imports,3.64,3.88,False,True,T3_manual,True,Tariff → incidence complexity: requires knowing that protection benefits may accrue to capital rather than the workers invoked.
E4_022,asylum,medium,refuge.n.03,wordnet_ordering(n=0),asylum.n.02,asylum.n.01,externalization,refuge,1.66,3.91,True,True,T1_auto,True,
E4_023,dividend,medium,dividend.n.01,semcor(n=5),dividend.n.01,dividend.n.01,shareholder,profit,3.63,4.7,False,True,-,False,
E4_024,algorithm,medium,algorithm.n.01,wordnet_ordering(n=0),algorithm.n.01,algorithm.n.01,bias,procedure,4.18,4.44,False,True,-,False,
